feature,importance,fold
BURO_CREDIT_DAY_OVERDUE_MAX,3,1
BURO_CREDIT_DAY_OVERDUE_MEAN,0,1
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,352,1
BURO_AMT_CREDIT_SUM_MAX,155,1
BURO_AMT_CREDIT_SUM_MEAN,277,1
BURO_AMT_CREDIT_SUM_SUM,263,1
BURO_AMT_CREDIT_SUM_DEBT_MAX,164,1
BURO_AMT_CREDIT_SUM_DEBT_MEAN,278,1
BURO_AMT_CREDIT_SUM_DEBT_SUM,142,1
BURO_AMT_CREDIT_SUM_OVERDUE_MEAN,47,1
BURO_AMT_CREDIT_SUM_LIMIT_MEAN,102,1
BURO_AMT_CREDIT_SUM_LIMIT_SUM,77,1
BURO_AMT_ANNUITY_MAX,85,1
BURO_AMT_ANNUITY_MEAN,96,1
BURO_CNT_CREDIT_PROLONG_SUM,4,1
BURO_MONTHS_BALANCE_MIN_MIN,58,1
BURO_MONTHS_BALANCE_MAX_MAX,6,1
BURO_MONTHS_BALANCE_SIZE_MEAN,61,1
BURO_MONTHS_BALANCE_SIZE_SUM,92,1
BURO_CREDIT_ACTIVE_Active_MEAN,95,1
BURO_CREDIT_ACTIVE_Bad_debt_MEAN,0,1
BURO_CREDIT_ACTIVE_Closed_MEAN,98,1
BURO_CREDIT_ACTIVE_Sold_MEAN,32,1
BURO_CREDIT_ACTIVE_nan_MEAN,0,1
BURO_CREDIT_CURRENCY_currency_1_MEAN,1,1
BURO_CREDIT_CURRENCY_currency_2_MEAN,0,1
BURO_CREDIT_CURRENCY_currency_3_MEAN,0,1
BURO_CREDIT_CURRENCY_currency_4_MEAN,0,1
BURO_CREDIT_CURRENCY_nan_MEAN,0,1
BURO_CREDIT_TYPE_Another_type_of_loan_MEAN,7,1
BURO_CREDIT_TYPE_Car_loan_MEAN,72,1
BURO_CREDIT_TYPE_Cash_loan__non_earmarked__MEAN,0,1
BURO_CREDIT_TYPE_Consumer_credit_MEAN,144,1
BURO_CREDIT_TYPE_Credit_card_MEAN,154,1
BURO_CREDIT_TYPE_Interbank_credit_MEAN,0,1
BURO_CREDIT_TYPE_Loan_for_business_development_MEAN,0,1
BURO_CREDIT_TYPE_Loan_for_purchase_of_shares__margin_lending__MEAN,0,1
BURO_CREDIT_TYPE_Loan_for_the_purchase_of_equipment_MEAN,0,1
BURO_CREDIT_TYPE_Loan_for_working_capital_replenishment_MEAN,0,1
BURO_CREDIT_TYPE_Microloan_MEAN,96,1
BURO_CREDIT_TYPE_Mobile_operator_loan_MEAN,0,1
BURO_CREDIT_TYPE_Mortgage_MEAN,78,1
BURO_CREDIT_TYPE_Real_estate_loan_MEAN,0,1
BURO_CREDIT_TYPE_Unknown_type_of_loan_MEAN,0,1
BURO_CREDIT_TYPE_nan_MEAN,0,1
BURO_STATUS_0_MEAN_MEAN,182,1
BURO_STATUS_1_MEAN_MEAN,96,1
BURO_STATUS_2_MEAN_MEAN,8,1
BURO_STATUS_3_MEAN_MEAN,0,1
BURO_STATUS_4_MEAN_MEAN,1,1
BURO_STATUS_5_MEAN_MEAN,7,1
BURO_STATUS_C_MEAN_MEAN,104,1
BURO_STATUS_X_MEAN_MEAN,93,1
BURO_STATUS_nan_MEAN_MEAN,0,1
ACTIVE_DAYS_CREDIT_MIN,205,1
ACTIVE_DAYS_CREDIT_MAX,455,1
ACTIVE_DAYS_CREDIT_MEAN,295,1
ACTIVE_DAYS_CREDIT_VAR,239,1
ACTIVE_DAYS_CREDIT_ENDDATE_MIN,443,1
ACTIVE_DAYS_CREDIT_ENDDATE_MAX,311,1
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,264,1
ACTIVE_DAYS_CREDIT_UPDATE_MEAN,380,1
ACTIVE_CREDIT_DAY_OVERDUE_MAX,1,1
ACTIVE_CREDIT_DAY_OVERDUE_MEAN,4,1
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,198,1
ACTIVE_AMT_CREDIT_SUM_MAX,206,1
ACTIVE_AMT_CREDIT_SUM_MEAN,198,1
ACTIVE_AMT_CREDIT_SUM_SUM,302,1
ACTIVE_AMT_CREDIT_SUM_DEBT_MAX,149,1
ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,290,1
