feature,importance,fold
CLOSED_AMT_CREDIT_SUM_MEAN,186,1
CLOSED_AMT_CREDIT_SUM_SUM,195,1
CLOSED_AMT_CREDIT_SUM_DEBT_MAX,41,1
CLOSED_AMT_CREDIT_SUM_DEBT_MEAN,8,1
CLOSED_AMT_CREDIT_SUM_DEBT_SUM,5,1
CLOSED_AMT_CREDIT_SUM_OVERDUE_MEAN,0,1
CLOSED_AMT_CREDIT_SUM_LIMIT_MEAN,18,1
CLOSED_AMT_CREDIT_SUM_LIMIT_SUM,2,1
CLOSED_AMT_ANNUITY_MAX,77,1
CLOSED_AMT_ANNUITY_MEAN,34,1
CLOSED_CNT_CREDIT_PROLONG_SUM,0,1
CLOSED_MONTHS_BALANCE_MIN_MIN,53,1
CLOSED_MONTHS_BALANCE_MAX_MAX,6,1
CLOSED_MONTHS_BALANCE_SIZE_MEAN,77,1
CLOSED_MONTHS_BALANCE_SIZE_SUM,46,1
PREV_AMT_ANNUITY_MIN,137,1
PREV_AMT_ANNUITY_MAX,121,1
PREV_AMT_ANNUITY_MEAN,196,1
PREV_AMT_APPLICATION_MIN,60,1
PREV_AMT_APPLICATION_MAX,68,1
PREV_AMT_APPLICATION_MEAN,102,1
PREV_AMT_CREDIT_MIN,65,1
PREV_AMT_CREDIT_MAX,83,1
PREV_AMT_CREDIT_MEAN,164,1
PREV_APP_CREDIT_PERC_MIN,182,1
PREV_APP_CREDIT_PERC_MAX,111,1
PREV_APP_CREDIT_PERC_MEAN,202,1
PREV_APP_CREDIT_PERC_VAR,195,1
PREV_AMT_DOWN_PAYMENT_MIN,61,1
PREV_AMT_DOWN_PAYMENT_MAX,141,1
PREV_AMT_DOWN_PAYMENT_MEAN,81,1
PREV_AMT_GOODS_PRICE_MIN,105,1
PREV_AMT_GOODS_PRICE_MAX,33,1
PREV_AMT_GOODS_PRICE_MEAN,105,1
PREV_HOUR_APPR_PROCESS_START_MIN,40,1
PREV_HOUR_APPR_PROCESS_START_MAX,71,1
PREV_HOUR_APPR_PROCESS_START_MEAN,186,1
PREV_RATE_DOWN_PAYMENT_MIN,66,1
PREV_RATE_DOWN_PAYMENT_MAX,89,1
PREV_RATE_DOWN_PAYMENT_MEAN,116,1
PREV_DAYS_DECISION_MIN,127,1
PREV_DAYS_DECISION_MAX,215,1
PREV_DAYS_DECISION_MEAN,159,1
PREV_CNT_PAYMENT_MEAN,332,1
PREV_CNT_PAYMENT_SUM,91,1
PREV_NAME_CONTRACT_TYPE_Cash_loans_MEAN,64,1
PREV_NAME_CONTRACT_TYPE_Consumer_loans_MEAN,45,1
PREV_NAME_CONTRACT_TYPE_Revolving_loans_MEAN,24,1
PREV_NAME_CONTRACT_TYPE_XNA_MEAN,0,1
PREV_NAME_CONTRACT_TYPE_nan_MEAN,0,1
PREV_WEEKDAY_APPR_PROCESS_START_FRIDAY_MEAN,101,1
PREV_WEEKDAY_APPR_PROCESS_START_MONDAY_MEAN,119,1
PREV_WEEKDAY_APPR_PROCESS_START_SATURDAY_MEAN,85,1
